제목,작성 날짜,주최사,활동내용,모집 기간,모집 인원,모집 대상,참가 비용 유/무,우대 사항,활동 지역,활동 기간
 [SESIFF]서울국제초단편영화제 자원활동가 SESIFFian 2차 모집합니다 (~7.24),20180723,서울국제초단편영화제,,2018년 7월 11일 ~ 7월 24일,20명,"영화제에 열정을 가지고 전 기간 동안 참여 가능한 사람자원활동가 선발,교육 및 각종 행사에 적극적으로 임할 수 있는 사람만18세 이상으로 한국어로 의사소통이 가능한 사람",없음,,서울시 영등포구 일대,오리엔테이션_2018년8원17일(금)발대식_2018년8월31일(금)제10회 서울국제초단편영화제_2018년9월11일(화) ~ 16일(일)해단식_2018년9월16일(일)
 세브란스/성모/고대구로병원 병원학교 아이들을 위한 교육봉사 연합동아리(~8/1),20180723,키즈유나이티드,"신촌 세브란스병원, 서울 성모병원, 고대구로병원, 서울대 병원 어린이 병원학교에서소아암, 백혈병으로 인해 장기 입원치료 받는 아이들을 대상으로 미술/풍선아트/과학 수업을 진행합니다.",~8/1,10여명,"아이들을 사랑하는 대학생(졸업생 불가, 휴학생 가능)",유(지원서 안내사항 참고),"수업 과목 관련 전공자, 특기자","서울대병원, 세브란스병원, 서울성모병원",2018년 9월 ~ 2019년 2월 이상(6개월 이상)
 굿네이버스 좋은마음센터 서울동작 성폭력예방인형극 자원봉사자 모집,20180723,굿네이버스 좋은마음센터 서울동작," 동작구, 관악구에 있는 초등학교를 직접 방문하여 인형극 진행",~7/27(금요일), 00명," 대학생이면 누구나 가능(휴학생 포함, 졸업생 불가능)",,," 관악구, 동작구",
" 대학생 연합 토론교육봉사단체 ""대풍단"" 7기 모집(~8/10)",20180723,한국 청소년 문화진흥협회,"서울지역 3개 지부(수유, 홍대, 건대) 지역아동센터에서 토론교육 봉사를 실시(주 1회)전국토론대회에서 심사위원이나 토론 진행을 맡는 퍼실리테이터로 위촉되어 활동(매 학기 1회)프로그램 제작팀, 기획팀, 인프라 구축팀에 소속되어 팀 활동 진행매월 마지막 주 토요일 총회 진행토론활동지도사 3급 자격증 취득을 위한 자격증 교육 이수",7월 16일~8월 10일,00명,"토론을 좋아하고 교육을 사랑하는 휴학생, 재학생","한 학기 활동비 2만원 (MT 비용은 별도입니다)활동 지역수유 지부, 홍대(망원) 지부, 건대 지부활동 기간1년활동 혜택토론활동지도사 3급 자격증봉사시간오프라인 모임 횟 수 (월 x회)월 1회 이상매월 마지막 주 토요일 정기 총회팀 활동지원하는 방법(1) https://cafe.naver.com/daepoogdan/308 에서 지원서를 다운 받아주세요게시글 상단에 첨부파일 있습니다(2) 지원서 작성 후 dmstjs2009@gmail.com 으로 제출해 주세요공식 카페/블로그 및 SNS네이버 카페https://m.cafe.naver.com/daepoogdan페이스북https://www.facebook.com/%EB%8C%80%ED%95%99%EC%83%9D%ED%92%8D%EB%8E%85%EC%9D%B4%EB%B4%89%EC%82%AC%EB%8B%A8%EB%8C%80%ED%92%8D%EB%8B%A81414691041889091/모집일정1. 모집기간  7월 16일~8월 10일 2. 서류발표  8월 13일2. 면접일시  8월 16일~17일3. 합격자 발표  8월 18일 토요일< 대외활동 담당자의 Q&A >Q. 지난번 경쟁률은 어땠나요?A. 3대 1이었습니다Q. 필요 역량 및",,"수유 지부, 홍대(망원) 지부, 건대 지부",1년
 제10회 DMZ국제다큐영화제 자원활동가 모집 (~8/14),20180722,DMZ국제다큐영화제,영화제 현장 및 사무국에서 영화제 기간 동안 영화제의 운영과 기획을 지원할 자원활동가 여러분들을 모집합니다 :),8월 14일 까지!,70명 내외,만 18세 이상 누구나 가능!,무,포스터 내용 참고해주세요,"메가박스 백석, 롯데시네마 파주 롯데 아울렛, 영화제 사무국(고양터미널 4층) 등 영화제 행사장 일대",9월 13일부터 9월 20일까지
 [빛길봉사단] 빛길봉사단 7월 신입회원 모집(~7.31),20180722,빛길봉사단,독거노인 지원 및 기타 봉사활동,~2018.7.31,15명,"서울/경기지역 봉사활동 가능 대학생+직장인졸업생 가능 여부 (O,X)O","봉사활동 참여 시 참여비 5,000원한 달에 2회 이상 참여 시 2회 참여할 때부터 참여비 면제",따뜻한 마음을 가지고 오랫동안 봉사단과 함께할 수 있으신 분,"정기 봉사처 : 종로구 창신동, 강동구 암사동, 은평구 불광동기타 모임장소 : 서울/경기지역 어디나",참여 가능한 시간 언제나
 [부산봉사] SCI 국제시민봉사회 부산경남지부에서 대학생 자원봉사자를 모집합니다,20180722,sci 국제시민봉사회 부산경남지부,"일일 봉사, 주말 봉사, 정기적 모임",수시모집,제한없음,부산경남소재 대학생,"무활동 지역부산활동 기간모든 활동에는 강제성이 없이 자신이 원하는 날짜에 원하는 활동을 할 수 있습니다.활동 혜택 외교통상부에서 인정한 비영리민간단체 등록 제53호로써, 행안부에서 인정받은 봉사활동 확인서 발급이 가능합니다. 봉사시간 및 다양한 인맥오프라인 모임 횟 수 (월 x회)월1 회 (RM)지원하는 방법 홈페이지 가입 후 가입신청서 작성 홈페이지 : http://cafe.naver.com/scibusan공식 카페/블로그 및 SNS기타▼<담당자의 Q&A> 채워주시면  '스펙업 페이스북' 홍보 우선 대상자가 됩니다! <이 부분을 포함한 위의 두 줄은 삭제하고 글을 작성해주세요.>< 대외활동 담당자의 Q&A >Q. 지난번 경쟁률은 어땠나요?A.Q. 필요 역량 및",,부산,모든 활동에는 강제성이 없이 자신이 원하는 날짜에 원하는 활동을 할 수 있습니다.
 [컬발] 여러분이 하고 싶은 봉사는 무엇인가요? 청춘 기획봉사 컬러 발론티어 (~07/25) 3명 추가모집!,20180721,봉사단체 아띠,기획봉사,~07/25,10명,20~30대 초반 열정이 가득한 청춘,유 / 6개월에 2만원,기획 활동을 많이 해본 사람 / 봉사에 열정이 가득한 사람,서울/경기,2018.08.04~2019.08.04
 [광명사랑나눔]고등학생 친구들과 함께하는 청춘 기획봉사! 어서 지원해주세요!! (~07/25),20180721,자원봉사단체 아띠,광명 사랑 나눔 봉사: 고등학생 멘토링 및 합동봉사,~07/25,8명,20대 성인 누구나!!! 30대 초반도 가능합니당,6개월에 2만원 / 봉사활동 및 운영 경비로 사용됩니다!,좋은 체력 이쁜 마음,경기도 광명시 / 서울 각 지역에서 비정기 봉사도 합니다,~12/31
 [컬발] 여러분이 하고 싶은 봉사는 무엇인가요? 청춘 기획봉사 컬러 발론티어 (~07/25) 3명 추가모집!,20180720,봉사단체 아띠,기획봉사,~07/25,10명,20~30대 초반 열정이 가득한 청춘,유 / 6개월에 2만원,기획 활동을 많이 해본 사람 / 봉사에 열정이 가득한 사람,서울/경기,2018.08.04~2019.08.04
 [광명사랑나눔]고등학생 친구들과 함께하는 청춘 기획봉사! 어서 지원해주세요!! (~07/25),20180720,자원봉사단체 아띠,광명 사랑 나눔 봉사: 고등학생 멘토링 및 합동봉사,~07/25,8명,20대 성인 누구나!!! 30대 초반도 가능합니당,6개월에 2만원 / 봉사활동 및 운영 경비로 사용됩니다!,좋은 체력 이쁜 마음,경기도 광명시 / 서울 각 지역에서 비정기 봉사도 합니다,~12/31
 [2018] 제15회 대한민국 향토食문화대전 1차 자원봉사자 모집 (~7/31),20180720,세계음식문화연구원,"현장 스텝,사무실 스텝",2018년6월 1일 ~ 7월 31일 18:00,많이 지원 부탁드려요^^,"성별, 나이 ,학력, 경력 (무관)",무,,,2018년 11월 8일 ~ 11월 10일
 [사단법인 데일리다일] 2018 KCOC NGO봉사단 추가파견 모집(~7/25),20180720, 2018 KCOC NGO봉사단 추가파견 모집,"분원명(지역)분야세부업무필리핀다일공동체(까만씨)사회복지(아동결연,청소년코칭) 무상급식 지원 신규 아동 조사 기존 아동 관리 청소년 코칭(진로상담 및 적성 탐색 등) 무상급식 지원 외우간다다일공동체(와키소)교육 초등 교육 지원 신규 아동 조사 기존 아동 관리공공행정 행정지원 무상급식 지원 외", 1차 심사 : 2018. 7. 25. (수)까지 서류제출 마감  1차 합격자 발표 : 2018. 7. 26.(목)  2차 심사 : 2018. 7. 27.(금) 또는 2018. 7. 28.(토)   최종 합격자 결과 발표 : 개별공지," 모집인원 : 4명 (분원별 각 2명)  업무기간 : 6개월 (연장 가능)    업무내용 : 신청서에 지원희망 국가, 지원 분야 필수 기입"," 만 19세 이상의 대한민국 국적을 가진 자   해외봉사활동을 수행하는데 적합한 자  국가공무원법 33조 각호에 해당하지 아니하는 자  최소 1년에서 최대 3년 활동이 가능한 자  남자인 경우 군복무를 필했거나 면제된 자 (단, 군미필자의 경우 파견기간동안 활동이 보장되는 자)  기관의 방향에 동의하는 자",," 만 19세 이상의 대한민국 국적을 가진 자   해외봉사활동을 수행하는데 적합한 자  국가공무원법 33조 각호에 해당하지 아니하는 자  최소 1년에서 최대 3년 활동이 가능한 자  남자인 경우 군복무를 필했거나 면제된 자 (단, 군미필자의 경우 파견기간동안 활동이 보장되는 자)  기관의 방향에 동의하는 자우대 사항관련업무 전공자 우대영어회화 가능자 우대국제개발협력 및 개발도상국 해외 자원 활동 경험자 우대", 필리핀(세부 까만씨) 우간다(와키소), 2018.08~2019.02
 [KYPA] 한국청소년진흥협회 라오스 지부 후원학교 개인봉사자 모집(연중 수시모집),20180720,,": 한국 전통놀이, 한국청소년진흥협회 독도필통 만들기 체험교육, 독도교육, 한국어 등 본인의 희망하는 교육 및 후원활동 5. 봉사학교: 라오스 비엔티안 파시캄, 방비엔 폰숙 초등학교 등6. 참가대상: 개인 및 단체 누구나7. 봉사활동 비용: 라오스 1일 8만원 포함사항: 숙박, 식사(조식, 중식, 석식), 차량, 문화체험, 가이드, 봉사보조지원(현지 장소 섭외, 일부 후원물품독도사랑필통, 봉사활동 물품), 기타(VMS봉사인증서, 라오스 교육청 봉사인증서 발급, 탐방안내), 수업 준비물 및 내용, 기타 후원물품 불포함사항: 왕복항공권 및 여행자 보험, 개인용돈 8. 봉사신청방법: 봉사 출발일과 귀국일 등 봉사일정을 스스로 확정하여, 해당일에 맞는 왕복항공권을 본인이 직접 예약 한 후, 사전에 여유 있게 라오프렌드에 봉사신청(봉사신청은 한국청소년진흥협회 홈페이지에서 신청서 양식 작성 또는 전화로 신청 가능(029298100))* 단체 봉사에 대한 문의, 항공권 및 봉사안내는 별도로 협회사무국(029298100)으로 문의하여 주시기 바랍니다.* 한국청소년진흥협회 네이버 카페 ‘신청게시판’  신청서 다운로드: https://cafe.naver.com/kecpi 후 이메일(kecpi@Naver.com)로전송* 방학 성수기 시즌(7,8월 및 12,1,2월)의 경우 항공권 예약, 발권이 어려울 수 있습니다. 봉사활동을 결정하셨을 경우 사전에 미리 항공권 예약, 발권하시는 것이 좋습니다. 12. 환불 규정  출국일전 7일사이에 본인 귀책사유로 봉사취소 시 지불한 봉사활동비의 30% 배상 (70% 환불)  출국일 당일 본인 귀책사유로 봉사취소시 지불한 봉사활동비용의 50% 배상 (50% 환불)  현지 도착 후 개인사유 및 본인 귀책 사유로 봉사일정 변경 및 취소시 : 환불 없음 주최사 / 활동명한국청소년진흥협회활동내용한국 전통놀이, 한국청소년진흥협회 독도필통 만들기 체험교육, 독도교육, 한국어 등 본인의 희망하는 교육 및 후원활동",상시,제한 없음,누구나 가능,ㅇ,x,"라오스 방비엔, 비엔티안",자유
 [광명사랑나눔]고등학생 친구들과 함께하는 청춘 기획봉사! 어서 지원해주세요!! (~07/25),20180719,자원봉사단체 아띠,광명 사랑 나눔 봉사: 고등학생 멘토링 및 합동봉사,~07/25,8명,20대 성인 누구나!!! 30대 초반도 가능합니당,6개월에 2만원 / 봉사활동 및 운영 경비로 사용됩니다!,좋은 체력 이쁜 마음,경기도 광명시 / 서울 각 지역에서 비정기 봉사도 합니다,~12/31
 [부산봉사] SCI 국제시민봉사회 부산경남지부에서 대학생 자원봉사자를 모집합니다,20180719,sci 국제시민봉사회 부산경남지부,"일일 봉사, 주말 봉사, 정기적 모임",수시모집,제한없음,부산경남소재 대학생,"무활동 지역부산활동 기간모든 활동에는 강제성이 없이 자신이 원하는 날짜에 원하는 활동을 할 수 있습니다.활동 혜택 외교통상부에서 인정한 비영리민간단체 등록 제53호로써, 행안부에서 인정받은 봉사활동 확인서 발급이 가능합니다. 봉사시간 및 다양한 인맥오프라인 모임 횟 수 (월 x회)월1 회 (RM)지원하는 방법 홈페이지 가입 후 가입신청서 작성 홈페이지 : http://cafe.naver.com/scibusan공식 카페/블로그 및 SNS기타▼<담당자의 Q&A> 채워주시면  '스펙업 페이스북' 홍보 우선 대상자가 됩니다! <이 부분을 포함한 위의 두 줄은 삭제하고 글을 작성해주세요.>< 대외활동 담당자의 Q&A >Q. 지난번 경쟁률은 어땠나요?A.Q. 필요 역량 및",,부산,모든 활동에는 강제성이 없이 자신이 원하는 날짜에 원하는 활동을 할 수 있습니다.
 굿네이버스 성동에서 아이들에게 즐거운 여름방학을 선물해줄 보조교사선생님을 모집합니다(~7/20),20180719,굿네이버스 서울성동,2주간 진행되는 희망나눔학교 내 프로그램 진행 보조,~7/20,00명,"대학생, 휴학생, 졸업생 가능",무,아동관련 경험 및 희망나눔학교 경험 有아동들을 사랑하는 마음을 가진 모든 대학생분들,"서울시 성동구, 중구, 종로구, 광진구, 용산구 내 초등학교 및 지역아동센터",7/30~8/10 오전 9시오후 2시 (야외프로그램 진행시 다소 상이할 수 있음)
 [서울국제초단편영화제] 자원활동가 SESIFFian 2차 모집합니다 (~7.24),20180719,서울국제초단편영화제,,2018년 7월 11일 ~ 7월 24일,20명,"영화제에 열정을 가지고 전 기간 동안 참여 가능한 사람자원활동가 선발,교육 및 각종 행사에 적극적으로 임할 수 있는 사람만18세 이상으로 한국어로 의사소통이 가능한 사람",없음,,서울시 영등포구 일대,오리엔테이션_2018년8원17일(금)발대식_2018년8월31일(금)제10회 서울국제초단편영화제_2018년9월11일(화) ~ 16일(일)해단식_2018년9월16일(일)
